"REF_DATE","GEO","DGUID","Distribution","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Quebec","2016A000224","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314469","4.1.4","7132","","","","0"
"2016-02","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028698","4.2.1","230791.0","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028699","4.2.2","8752.4","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028700","4.2.3","80314.8","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314470","4.2.4","49551","","","","0"
"2016-02","Quebec","2016A000224","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028701","4.3.1","86692.0","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028702","4.3.2","3293.4","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028703","4.3.3","38986.0","","","","1"
"2016-02","Quebec","2016A000224","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314471","4.3.4","146654","","","","0"
"2016-02","Ontario","2016A000235","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028704","5.1.1","940807.0","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028705","5.1.2","36268.1","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028706","5.1.3","184046.1","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314472","5.1.4","6322","","","","0"
"2016-02","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028707","5.2.1","1155555.0","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028708","5.2.2","44548.2","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028709","5.2.3","248800.7","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314473","5.2.4","155030","","","","0"
"2016-02","Ontario","2016A000235","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028710","5.3.1","1288784.0","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028711","5.3.2","49683.5","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028712","5.3.3","358978.8","","","","1"
"2016-02","Ontario","2016A000235","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314474","5.3.4","1974352","","","","0"
"2016-02","Manitoba","2016A000246","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028713","6.1.1","78645.0","","","","1"
